lzh9102/qrcode-desktop
wave100/SEAChat
tehmou/RxMapsAndroid
mackyi/BloombergVR
rogerbern/gpstracker
Wasky/PRG1Daniel
derek90/AlgoritmosII
jiachenning/ShsictIn
blesore/fuelstation-finder
ishaigor/rest-retro-sample
marciosn/FichaSuja2014-App
Gandalf1209/Yamanu-Game-Engine
shu-mj/icpc
ethanmad/En-Garde
bpc/beat-android-api
matthewgao/F5-steganography
stuarthendren/jdt.spelling
mberwanger/docker-registry
ktenzer/snap2cloud
mateusazis/Finance
st028/TexasIntramurals
burningrain/planetBot
vert-x3/vertx-groovy
shyos/deckport-export
oliver-repos/HBaseExamples
DavidGoldman/NBTEdit
0xc0d3r/stegtool
asamy45/P2P-Chat
yawkat/buycraft-standalone
mongobee/mongobee
joemccall86/Sunshine
crissii/SFS
WrRaThY/myLocalRepo
NapDo/SimpleDictionnaire
lzwjava/lzw-commons
rsi2m/RazborPoletov
DeanAaron/jdk8
EduGames/WordsGame
gemberge/zabavy
OniDaito/EMFMedical
robovm/robovm-maven-surefire-provider
panjiafang/LocalWeather
Rene8888/yt-battle
Razz0991/BuildTools
wanderphone/wanderphone
Joe12o/ThaumicDevelopment
Firebase/geofire-java
MRebhan/CraftyUtils
Harv/XLed
MakerFaireOrlando/mfo-android
TeamRainbow/UniGasus
OpenMRS/openmrs-module-printer
allaves/storm-query-operators
woalk/TranslucentStyle
dreal/biology
woojiyoon/JavaGit
dakotasanchez/geo-opposite
unlocked/zhelch
sherrardTr4129/MobileHaarTesterAndroid
SweSnow/Find-Me
zlb20048/ServiceJar
eviltwin/mfldb
dvorka/keepass2-to-keepassx
eos-project/eos
Dandelion/dandelion-gua
vishfrnds/phishing_detection
CodePurls/mailytics
doomdagger/eMall
jonanvc/Geophotoloc
mirreck/java-fake-factory
snackycakes/PlatformerPOC
SimonSchubert/LinuxCommandBibliotheca
SergeyPirogov/JBehaveReporter
fmarchioni/practical-javaee7-development-wildfly
wikibook/ibatisinaction
JetBrains/teamcity-achievements
Alice-Z/productsearch
kivo360/SocketDraw
forcebrute/ternarytree
Si-Kelly/LeanServletSystem
jprante/elasticsearch-functionscore-conditionalboost
dave-ellis/gradle-swagger-plugin
PinguinoIDE/pinguino-extra
gformich/hackingAround
gwuhaolin/myccnu
de-cix/jFlowLib
201idzb/project
metaer/JavaSudokuSolver
talberto/easybeans
alexzam/VacationDays
luciofm/ifican
nuptboyzhb/ViewPageAnimatorDemo
erito/ImageScrubberView
michaelkrauty/Kettle
doridori/AndroidUtils
Codingpedia/demo-rest-jersey-spring
lazyoft/Legami
sdobek/Othello_EE-ah-go
mraof/Chatenstance
malaka712/multimodal-presentation
AdoHe/java-http-proxy
NASCENCE/vm
Newbilius/CloudCopyPaster
jason1122g/JBrat
georgeke/macroRecorder
gundermann/JFX3D
nsporillo/Casinos
shunirr/android-image-search
alexmilowski/xproclet
nmaster/mobsos-survey
slowfall/tel
anastasia-zaitsewa/GraphView
aacom007/Algo_Programs
MESAI/AugmentedRealityLibGDX
ioos/phenomena
cmelchior/trifork-ibeacon-demo
protegeproject/owl-diff-engine
lbat/openmrs-module-operationtheater
mperry/stream-processing
delix/AlphaAlgorithm
RuedigerMoeller/disruptor-mcore
venkataravuri/Fitness
tcawus/siwozspring
wselwood/MinorPlanetCenterReader
vbohush/SortingAlgorithmAnimations
viveksri15/CodeSnippets
yfujita/nico-api-client
pbosio/WhatsappQuietHours
utkalsinha/My_Software
Minz-Chan/hdview
yongce/AppTrafficAnalyzer
zst123/MultiWindowSidebar
3VDreams/SoyVideoJuegos
LBNunes/uRPG
EstevoVazquez/MongoAccessService
viadeo/axon-kafka-terminal
tochange/TreeView
Shekharkg/Price-Tag
JoshuaChing/jPlayer
mattprovis/uitest
janotorres/trabalhocompiladores
libgdx/libgdx-demo-superjumper
darkstario/darkstar
mrratatosk/TransmissionEvolved
juampy30/ICOM5047_CAS
temesoft/jbench
xebia-france/xebay
orient33/ble_ancs
itsmanishagarwal/ActiveMQTest
jetty-project/jetty-ejb
f14shm4n/aion-event-engine
seanbizzo/designpatternexercises
Dakror/GitHubNotifier
SchweizerischeBundesbahnen/iib-maven-plugin
jfuentes/HyperFD
ryonday/marvel-java
chenjun6036/testDemo
realityforge/geolatte-geom-jpa
vjFaLk/GREWords
Nilhcem/xebia-android-flaws
KeywordDesk/keywordDesk-Java-API
james-jory/instagram4j
evant/sres
yisiwei/Vaccination
teirce/ZombieGame
Johnny78/SyncBox
hpcc-systems/hpcc-streaming-kafka
volodymyrd/qrserver
kaledj/MikeSweeper
ipsilondev/getimagext
sixhat/swipe
klinker-apps/slideover-messaging
eriklupander/microgramcaster
dongwq/droid-util
emil10001/ReusableAndroidUtils
ShyykoSerhiy/Flow
cestella/UnixCommandAnalysis
tkurz/sparql-mm
chiro79/PencaTail
mynah/oblatum
kwesterfeld/rewritehtml
nishio-dens/bitbucket-pullrequest-builder-plugin
McKiller5252/ParticlePack
altamiracorp/hbase-benchmark
ukwa/webarchive-explorer
kumarad/asanecon
aidancbrady/PeerChess
foreverkd/OCR-App
anubiann00b/BSDGradebook
JulianThijssen/Radiant
rlsutton1/piBot
cpboyd/simply-dicom
DeusBlu/D20Zuul
timwebster9/sonar-issue-handler-plugin
QualidadeDeSoftware/Template
powermagical/BigPangOrderManager
cbaeza/server
varpushaukka/valumasimulaatio
freeacs/tr069
sethhope/rpextensions
AydinE/GPTownship
tugcemoral/MS
lildesert/JEEfray
idamobile/proto-mapper
waylinw/FRC4159-2014
eoc-studio/VoiceCard
victorkp/GlassSettings
lucaswalter/StaleyRobotics2014
xored/integrity-maven-plugin
emce/typiconic
raizer88/livestreamerGui
steve-perkins/fitnessjiffy-etl
portablejim/PlanterHelper
mkuthan/example-jpa
tbaum/guice-persist-neo4j
kgiannakakis/FruitCatcher
davidru85/CarLocator
type-e/android
javgh/Bridgewalker-Android
metadaddy-sfdc/Forcecraft
OpenSilk/FuzzyClock
terrancesnyder/solr-groupby-component
fdelprete/CSV_User_Import-portlet
CatalinPrata/funcodetuts
charleyw/android-arduino
stephenjust/stkaddons-viewer
jdiedrick/Strings
dieubware/Tetrek
misberner/ap-commons
Connorcpu/PlugScript
AlexPnt/Secure-Chat-Service
jwonders/conflex
mickeyjk/PokeJava
jsvgoncalves/risk-aiad
UglyTroLL/ReKognitionJavaSDK
jensli/Combot
JavaOpenCVBook/code
ganghuawang/java-redis-rdb
Glitchfiend/ToughAsNails
coderodde/cskit
hunatika615/cf_pumpkin
TopicusZorg/growclient-java
hanscappelle/more-android-examples
nheron/coursdrools
felipeska/imdb
componio/nbDriva
ShareSDKPlatform/ThirdPartyLoginDemo
mikosik/test-injector
ewidgetfx/ewidgetfx
railskarthi/TiMultiImagePicker
DaleMartinWatson/CourseProject
satoshinew/CameraFragment
AngeliqueH/tabs-in-live
JoeTheFkingFrypan/NF20_HuffmannProjet_GAGNAIRE_DAIX_PELTIER
shannah/CN1JSON
mikel-egana-aranguren/SADI-Galaxy
Stefan101/PSD3-Project
